Регион;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
        Волгоградская область;252 235,20;318 206,60;377 411;419 014,40;452 066,40;428 924,20;507 448,40;485 916,30;594 271,10;648 975,40;711 468,10;681 238,30;700 737,60;733 951,20;370 115,60;329 797,80;367 854,10;180 861,60;297 914;397 915,20
        Ростовская область;125 011,60;136 619,30;314 891,40;272 087,50;274 288;265 809,50;413 865,70;361 928,60;553 883;599 620,20;577 776,30;647 691,80;714 304;641 169,20;546 657,20;664 466,90;721 197,60;610 212,10;654 171,40;1 162 747,40
        Город федерального значения Севастополь;;;;;;;;;;;;59 733;;;;143 176,30;188 887,20;241 170,50;349 098,70;150 271,70
    Северо-Кавказский федеральный округ;;;;;;;;11 988 391,10;13 988 443,90;15 262 837,70;16 147 388;17 711 633,30;20 368 428;21 595 999,60;20 516 162;21 542 342,80;22 695 302,80;14 131 166,80;26 186 272,40;34 584 311,60
        Республика Дагестан;22 244,90;50 860,10;100 672,40;75 335,70;84 914;121 833,10;151 172,20;95 618,60;111 744,40;187 507,10;292 652,90;294 425,50;354 450,70;444 846,80;344 233,50;528 763,70;316 651,20;157 043,90;710 843,90;859 453,10
        Республика Ингушетия;0;1 360;3 025;0;8 637;;11 989;16 736,60;23 099;26 955;29 003,10;21 016,40;;;;;;26 627;68 878;116 529,90
        Кабардино-Балкарская Республика;156 416,30;206 673,30;364 255,30;320 525,80;358 222,50;482 452,60;694 894,40;608 954,10;680 611,20;700 893,30;713 726,20;711 274,40;684 306;699 799,90;554 801,70;611 767;739 229,10;389 269;575 946,20;1 015 266,90
        Карачаево-Черкесская Республика;9 801;27 778,40;38 151,20;39 819,70;43 598,90;55 431,20;42 462;44 528,60;51 270,60;31 999,30;29 737,30;31 438,30;37 308,60;63 861,50;41 874,50;46 452,50;29 637,70;12 174,70;33 335,20;46 835
        Республика Северная Осетия-Алания;39 969,40;34 607,20;41 443,30;47 841,40;63 057,70;74 506,80;103 394,90;85 053,30;129 679,20;129 125,20;118 307,30;140 270,60;91 666,10;144 782,30;120 475,10;128 903,70;122 652,10;70 298,40;86 065;135 064,80
        Чеченская Республика;;;;;;;;;;0;0;37 030,80;33 184,40;27 364;33 843,20;32 007;40 042,40;42 757,70;35 391;144 615,50
        Ставропольский край;3 167 348,60;3 836 834,50;5 068 573,10;6 390 388,30;7 409 082,30;9 223 703,70;10 315 403,90;11 137 499,90;12 992 039,50;14 186 357,80;14 963 961,20;16 476 177,30;19 167 512,20;20 215 345,10;19 420 934;20 194 448,90;21 447 090,30;13 432 996,10;24 675 813,10;32 266 546,40
    Приволжский федеральный округ;5 295 702,80;6 528 402,10;8 680 006,60;10 430 001,66;11 954 656,70;15 282 844;15 157 963,30;15 141 719;16 739 272,50;18 500 026,60;19 484 862,20;20 752 932,70;21 484 282,60;22 415 735,90;21 144 147,80;21 861 887,20;22 701 866,50;15 954 537,40;22 106 442,30;27 806 421,40
        Республика Башкортостан;1 027 717,30;1 276 624,90;1 604 050,30;2 039 801,60;2 237 798,20;3 171 918,30;3 208 158,80;3 521 419,30;3 823 428,70;4 183 085,70;4 554 664,20;4 922 499,30;5 212 231,90;5 533 134;5 087 449,80;5 163 501,50;5 287 193,20;4 772 814,10;5 225 700,80;6 714 060,70
        Республика Марий Эл;89 985,40;108 630,70;182 995,70;183 777,30;209 044,10;256 602,50;254 762,80;226 003,50;283 932,10;373 768,10;377 975;410 737,40;351 612,60;355 939,20;348 197,90;280 342,80;299 550,90;156 068,50;276 714,50;334 970,30
        Республика Мордовия;70 882;88 288,30;131 704,20;157 118,20;179 490,20;203 673,10;201 039,60;190 202,30;206 621,40;240 966,40;241 060;248 325,30;197 201,40;229 162,70;233 178,80;256 185,50;204 217,90;106 984,90;188 380,50;259 718,50
        Республика Татарстан (Татарстан);874 328,50;954 928,20;1 223 245,40;1 334 908,56;1 491 917,90;1 854 833,30;1 861 154;1 762 172,80;1 975 200,20;2 532 222,70;2 723 993,50;3 005 586,80;3 284 562,20;3 325 562,10;3 307 061,70;3 432 709,20;3 760 162,30;2 708 928,70;3 697 952,50;4 780 053,80
        Удмуртская Республика;280 728,10;381 194,50;515 527;618 356;766 133;898 567,80;1 223 021,70;945 767,50;1 041 567,70;1 127 683,50;1 204 360,90;1 288 457,30;1 177 541,30;1 277 844,10;1 292 100,10;1 248 455,30;1 286 437,50;953 458,90;1 315 608,80;1 627 135,20
        Чувашская Республика - Чувашия;198 873,30;254 167,30;383 122,10;453 412,30;521 985,10;654 668,60;593 755,90;592 526,90;644 642;688 603,50;703 836;752 749;807 314,40;850 149,10;835 695,30;894 458,90;919 287,30;509 499,40;987 018,70;1 331 176,10
        Пермский край;886 769;1 069 838,90;1 356 590,60;1 631 377,50;1 796 699,30;2 391 468,60;2 117 382,90;2 175 829,10;2 527 285,20;2 640 094,90;2 753 387,70;2 836 449;2 713 522,60;2 982 453,40;3 015 816,80;3 077 955,20;3 170 221,50;1 803 185,80;2 937 914,80;3 687 471,80
            Коми-Пермяцкий округ, входящий в состав Пермского края;0;0;;;;;;;;;;;;;;;;;;
        Кировская область;410 803,70;533 299,80;644 176,70;817 829,90;955 184,30;1 126 930,80;1 209 373,20;1 207 609,40;1 314 072,10;1 452 978;1 453 153,10;1 533 353,90;1 551 342,80;1 579 300,30;1 196 633,90;1 227 092,20;1 274 889,10;867 218,10;1 211 946,10;1 619 712,30
        Нижегородская область;328 075,30;382 721,90;453 244,40;548 837,10;615 640,70;763 906,10;799 617,20;864 078,70;966 293,10;1 004 535,70;847 515,70;1 002 641,70;1 030 967;1 098 652,80;1 113 282,40;1 170 018,20;1 242 982,80;645 436,20;1 150 026,60;1 458 020,70
        Оренбургская область;197 909,90;177 796,10;311 796,30;349 354,30;488 029;641 139,80;665 675,30;660 827,90;668 042,40;732 657,90;816 832,20;723 169;716 807,70;733 318,70;741 368,50;701 045,90;768 916,90;442 366,90;568 857,10;782 671,20
        Пензенская область;141 920,10;187 410,10;339 251,50;299 716,60;347 646,60;389 875,60;461 133,60;355 233,20;441 932,50;525 882,80;495 621,20;528 823,60;550 374;551 611,30;496 485,60;585 442,50;619 808,60;341 133,60;506 740,20;581 997,60
        Самарская область;381 691,10;597 191,80;805 675;1 187 603,90;1 412 341,20;1 832 381,20;1 459 527,10;1 515 511,20;1 622 867,80;1 814 232,50;1 765 349,30;2 011 575,90;2 404 067;2 513 773,90;2 014 717,10;2 335 255,80;2 340 489,80;1 888 631,40;2 409 304,20;2 844 947,40
        Саратовская область;168 723,70;240 201,50;350 881,10;361 249,60;416 171;494 809,50;547 304,10;520 676,40;576 068,80;497 141,60;622 912,30;694 293,30;735 123,70;649 071,60;739 627,50;808 285,30;842 018,70;352 009,70;947 885,60;1 035 320
