Регион;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
        Иркутская область;35;38;37;36;33;31;40;28;26;26;25;27;26;26;24;24;24;23;24;27;24
            Усть-Ордынский Бурятский округ;1;1;1;1;1;1;;;;;;;;;;;;;;;
        Кемеровская область - Кузбасс;80;79;75;69;72;65;61;56;53;52;53;47;50;45;43;44;43;43;44;40;49
        Новосибирская область;45;45;41;44;41;43;43;42;37;37;37;33;32;28;29;28;30;31;34;34;35
        Омская область;20;20;21;21;21;18;17;16;19;20;19;20;20;23;21;17;17;17;16;14;14
        Томская область;13;13;12;14;14;14;15;13;12;15;13;13;10;9;10;10;11;12;11;11;11
    Дальневосточный федеральный округ;128;116;106;107;101;99;98;91;85;81;77;76;75;75;77;80;;;;;
    Дальневосточный федеральный округ;;;;;;;;;;;;;;;;;90;93;85;97;88
        Республика Бурятия;23;20;23;24;22;16;19;17;16;21;22;21;20;19;14;14;10;12;14;19;22
        Забайкальский край;15;13;12;12;12;12;12;12;12;11;11;11;10;11;11;10;9;9;8;10;11
            Агинский Бурятский округ (Забайкальский край);3;3;3;3;3;3;;;;;;;;;;;;;;;
        Республика Саха (Якутия);33;31;26;28;28;28;28;24;23;24;23;24;25;25;23;21;18;18;11;15;10
        Камчатский край;7;6;6;5;5;5;4;3;3;2;2;2;2;2;2;3;3;3;2;3;2
            Корякский округ, входящий в состав Камчатского края;;;;0;0;;;;;;;;;;;;;;;;
        Приморский край;36;28;29;28;25;23;23;23;20;19;18;16;16;17;17;18;14;14;14;15;11
        Хабаровский край;18;18;13;13;11;11;10;10;10;9;9;9;8;7;10;13;11;12;12;11;9
        Амурская область;13;13;11;12;11;11;12;10;9;8;8;8;7;7;8;8;8;8;8;8;7
        Магаданская область;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;5;5;5
        Сахалинская область;9;8;8;8;8;8;8;8;7;7;6;6;6;6;6;5;5;5;5;5;5
        Еврейская автономная область;5;5;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5
        Чукотский автономный округ;;;;0;0;0;;;;0;;0;;;;1;1;1;1;1;1
    Крымский федеральный округ;;;;;;;;;;;;;98;126;;;;;;;
